 6 18 25 13 35 14 11 20 33 19 7 21 36 2 32 22 10 9 30 34 12 3 17 15 1 29 4 23 26 28 27 8 5 31 16 24
 30 6 27 10 18 20 32 4 5 26 16 28 1 24 35 13 17 21 3 33 25 14 34 2 23 15 11 12 19 31 22 29 8 36 7 9
 28 1 33 18 20 11 9 36 22 4 23 17 30 16 2 32 24 7 13 25 19 8 31 15 26 21 6 14 10 34 5 12 29 35 3 27
 5 34 30 33 6 3 11 16 19 1 29 35 36 18 25 8 15 9 7 10 31 23 13 27 24 12 4 32 22 17 28 21 2 14 26 20
 19 13 34 6 32 7 31 8 28 29 5 10 15 27 14 36 1 18 3 17 24 11 35 21 20 16 2 25 26 22 23 30 9 4 12 33
 20 6 32 21 7 25 1 34 28 13 30 5 26 19 22 18 14 12 36 2 11 16 17 29 24 23 15 8 10 31 4 27 3 35 33 9
 2 11 30 25 23 20 19 35 31 7 6 13 29 18 8 12 17 27 4 3 15 36 21 32 33 34 1 22 16 5 24 10 26 9 28 14
 35 6 25 16 24 5 7 1 15 28 31 29 27 36 12 14 3 19 9 26 18 8 17 33 10 20 11 32 34 4 23 22 30 13 2 21
 19 7 36 12 34 3 2 23 26 14 21 25 16 18 30 17 24 6 15 22 10 9 20 35 32 33 4 28 1 13 27 8 5 31 11 29
 31 19 13 11 27 10 9 1 35 21 20 25 15 17 23 29 5 22 7 24 4 14 26 36 33 32 8 2 30 6 16 18 28 34 3 12
